"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","Haji Bunder Rd","682","0/A, Rafi Ahmed Kidwai Rd, Kasturba Gandhi Nagar, Wadla Village, Wadala","3/1/2020 - 3/31/2020, Every day, Daily Average",743,557,990
"258","Haji Bunder Rd","683","Eastern Fwy","3/1/2020 - 3/31/2020, Every day, Daily Average",358,267,479
"258","Haji Bunder Rd","684","0, Godrej Creekside Colony","3/1/2020 - 3/31/2020, Every day, Daily Average",1471,1189,1819
"258","Haji Bunder Rd","685","Niwara Society","3/1/2020 - 3/31/2020, Every day, Daily Average",4926,3843,6313
"258","Haji Bunder Rd","686","VN Purva Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",1443,1131,1841
"258","Haji Bunder Rd","688","Chelsea","3/1/2020 - 3/31/2020, Every day, Daily Average",3555,2790,4528
"258","Haji Bunder Rd","689","General Arunkumar Vaidya Marg","3/1/2020 - 3/31/2020, Every day, Daily Average",2020,1521,2681
"258","Haji Bunder Rd","690","A/2,406, Moulana Azad Rd, Daulat Nagar, Kausa, Mumbra","3/1/2020 - 3/31/2020, Every day, Daily Average",4000,3250,4921
"258","Haji Bunder Rd","691","0, Airoli Knowledge Park Road, MSEB Staff Colony, TTC Industrial Area, Airoli","3/1/2020 - 3/31/2020, Every day, Daily Average",2790,2365,3291
"258","Haji Bunder Rd","695","Mumbai - Agra National Hwy","3/1/2020 - 3/31/2020, Every day, Daily Average",3382,2747,4162
